,geocode,muni_name,year,peak_week,beta,gamma,R0,total_cases,alpha,sum_res,ep_ini,ep_end,ep_dur,uf,state,n_last_ep,year_first_ep,year_last_ep_before_2023,start_train_chik,end_train_chik
16,2802106,Estância,2023,23.115162629547896,0.4672436640029188,0.3009396265160618,1.5526159496246368,847.9558707040648,0.3559257199169171,0.3765917140006899,202302,202340,38,28,SE,3,2016,2021,2015-10-01,2021-11-01
9,1502400,Castanhal,2023,30.12136692657671,0.4084359262035177,0.3143903812636187,1.2991362030921714,378.3532277211702,0.2302577684927683,0.9607731923752938,202302,202345,43,15,PA,1,2018,2018,2017-10-01,2018-11-01
1,5002308,Brasilândia,2023,9.63016093921965,0.7118474555328825,0.3299999999944183,2.1571135016512812,566.6447980973214,0.5364175323947975,1.001590906670946,202302,202319,17,50,MS,1,2022,2022,2021-10-01,2022-11-01
6,5002951,Chapadão Do Sul,2023,18.678993391449964,0.5406245072227811,0.3147091796595496,1.7178542672559638,186.9467759017217,0.4178784434389986,1.1502223191016006,202302,202332,30,50,MS,2,2021,2022,2020-10-01,2022-11-01
6,1721000,Palmas,2023,14.036933850886212,0.4984557098530032,0.3000000000041691,1.661519032820254,3451.0580551429252,0.3981411104857432,1.00209644088134,202302,202329,27,17,TO,2,2017,2022,2016-10-01,2022-11-01
12,1716109,Paraíso Do Tocantins,2023,5.8601478481563305,0.6928456482095594,0.3000000000000067,2.309485494031813,4985.1193686669285,0.5670031257679659,1.1793256798210208,202302,202315,13,17,TO,1,2022,2022,2021-10-01,2022-11-01
11,2928703,Santo Antônio De Jesus,2023,22.533599339049097,0.5860239706476669,0.328305117501614,1.784997977208765,804.9005707661021,0.4397752755083123,0.9676527533377012,202308,202335,27,29,BA,1,2016,2016,2015-10-01,2016-11-01
48,2914802,Itabuna,2023,14.845639879658409,0.4846345383672201,0.3042046735607918,1.5931199632617463,2117.745290034698,0.3723008793684283,1.0237608905905518,202302,202331,29,29,BA,2,2016,2022,2015-10-01,2022-11-01
76,2931350,Teixeira De Freitas,2023,19.669656470564743,0.4326212448163334,0.3012658683814769,1.436011477637846,699.3954289403198,0.3036267358775287,1.3110527912054362,202302,202340,38,29,BA,5,2016,2022,2015-10-01,2022-11-01
84,2925303,Porto Seguro,2023,11.52261651164855,0.5281735014747488,0.3000000000285286,1.7605783380817397,1695.361609465367,0.4320048257042838,1.1138757275634918,202302,202325,23,29,BA,2,2016,2017,2015-10-01,2017-11-01
92,2900801,Alcobaça,2023,18.00151062434191,0.4723076840354165,0.3024590499926837,1.5615591070819053,320.7995523181895,0.3596143780502129,2.195190028818201,202302,202335,33,29,BA,1,2020,2020,2019-10-01,2020-11-01
99,2905008,Caculé,2023,5.913970540176988,0.6742919198899824,0.3028285913349247,2.2266454990844102,276.2534801098662,0.5508939342112622,2.0929317886492123,202302,202315,13,29,BA,1,2022,2022,2021-10-01,2022-11-01
128,2913606,Ilhéus,2023,15.095379575847897,0.4477405536057981,0.3000361529662065,1.492288676479023,2023.0750835704157,0.3298883682750662,1.170779236994294,202302,202333,31,29,BA,1,2016,2016,2015-10-01,2016-11-01
130,2917706,Jaguarari,2023,17.36394205669992,0.4192995960422777,0.3002262380850743,1.3966120973192953,221.32009636588873,0.2839815708889863,2.251610437859693,202302,202339,37,29,BA,1,2016,2016,2015-10-01,2016-11-01
158,2905701,Camaçari,2023,26.615823184410587,0.5191079524200528,0.3029888695243988,1.7132905021722276,267.0841245695163,0.4163278213868977,1.498549901899855,202309,202341,32,29,BA,2,2015,2019,2014-10-01,2019-11-01
