,casos_2304400,casos_est_2304400,casos_est_min_2304400,casos_est_max_2304400,p_rt1_2304400,p_inc100k_2304400,temp_min_2304400,temp_max_2304400,umid_min_2304400,pressao_min_2304400,casos_2311702,casos_est_2311702,casos_est_min_2311702,casos_est_max_2311702,p_rt1_2311702,p_inc100k_2311702,temp_min_2311702,temp_max_2311702,umid_min_2311702,pressao_min_2311702,casos_2307650,casos_est_2307650,casos_est_min_2307650,casos_est_max_2307650,p_rt1_2307650,p_inc100k_2307650,temp_min_2307650,temp_max_2307650,umid_min_2307650,pressao_min_2307650,casos_2306306,casos_est_2306306,casos_est_min_2306306,casos_est_max_2306306,p_rt1_2306306,p_inc100k_2306306,temp_min_2306306,temp_max_2306306,umid_min_2306306,pressao_min_2306306
2012-12-02,58,58.0,58,58,0.9827296,2.1588528,25.857142857142858,30.428571428571427,47.42857142857143,1008.2857142857143,18,18.0,18,18,0.8973731,97.9059,25.857142857142858,30.428571428571427,47.42857142857143,1008.2857142857143,5,5.0,5,5,0.46973747,2.179048,25.857142857142858,30.428571428571427,47.42857142857143,1008.2857142857143,0,0.0,0,0,0.0,0.0,25.857142857142858,30.428571428571427,47.42857142857143,1008.2857142857143
2012-12-09,48,48.0,48,48,0.73661697,1.7866368,25.714285714285715,30.428571428571427,47.857142857142854,1008.1428571428571,11,11.0,11,11,0.5787578,59.831383,25.714285714285715,30.428571428571427,47.857142857142854,1008.1428571428571,7,7.0,7,7,0.6943798,3.0506673,25.714285714285715,30.428571428571427,47.857142857142854,1008.1428571428571,0,0.0,0,0,0.0,0.0,25.714285714285715,30.428571428571427,47.857142857142854,1008.1428571428571
2012-12-16,33,33.0,33,33,0.052697644,1.2283128,25.857142857142858,30.714285714285715,48.57142857142857,1007.8571428571429,17,17.0,17,17,0.8290889,92.46668,25.857142857142858,30.714285714285715,48.57142857142857,1007.8571428571429,4,4.0,4,4,0.30977887,1.7432384,25.857142857142858,30.714285714285715,48.57142857142857,1007.8571428571429,0,0.0,0,0,0.0,0.0,25.857142857142858,30.714285714285715,48.57142857142857,1007.8571428571429
2012-12-23,46,46.0,46,46,0.5098492,1.7121936,25.714285714285715,31.0,47.857142857142854,1008.0,1,1.0,1,1,0.00011855529,5.4392166,25.714285714285715,31.0,47.857142857142854,1008.0,4,4.0,4,4,0.30686393,1.7432384,25.714285714285715,31.0,47.857142857142854,1008.0,1,1.0,1,1,0.9632679,1.8844103,25.714285714285715,31.0,47.857142857142854,1008.0
2012-12-30,86,86.0,86,86,0.9999099,3.2010577,26.0,30.285714285714285,50.142857142857146,1008.7142857142857,5,5.0,5,5,0.060912408,27.196083,26.0,30.285714285714285,50.142857142857146,1008.7142857142857,6,6.0,6,6,0.6387693,2.6148577,26.0,30.285714285714285,50.142857142857146,1008.7142857142857,0,0.0,0,0,0.0,0.0,26.0,30.285714285714285,50.142857142857146,1008.7142857142857
2013-01-06,104,104.0,104,104,0.9999457,3.8710465,25.285714285714285,30.0,53.0,1009.8571428571429,4,4.0,4,4,0.2006492,21.756866,25.285714285714285,30.0,53.0,1009.8571428571429,6,6.0,6,6,0.655524,2.6148577,25.285714285714285,30.0,53.0,1009.8571428571429,1,1.0,1,1,0.730556,1.8844103,25.285714285714285,30.0,53.0,1009.8571428571429
2013-01-13,92,92.0,92,92,0.8667618,3.4243872,25.857142857142858,30.857142857142858,46.42857142857143,1008.1428571428571,13,13.0,13,13,0.9776856,70.709816,25.857142857142858,30.857142857142858,46.42857142857143,1008.1428571428571,6,6.0,6,6,0.5750219,2.6148577,25.857142857142858,30.857142857142858,46.42857142857143,1008.1428571428571,2,2.0,2,2,0.8598159,3.7688205,25.857142857142858,30.857142857142858,46.42857142857143,1008.1428571428571
2013-01-20,144,144.0,144,144,0.9992849,5.3599105,22.714285714285715,30.285714285714285,54.285714285714285,1008.7142857142857,0,0.0,0,0,0.0,0.0,22.714285714285715,30.285714285714285,54.285714285714285,1008.7142857142857,5,5.0,5,5,0.39982793,2.179048,22.714285714285715,30.285714285714285,54.285714285714285,1008.7142857142857,1,1.0,1,1,0.50317574,1.8844103,22.714285714285715,30.285714285714285,54.285714285714285,1008.7142857142857
2013-01-27,142,142.0,142,142,0.98095596,5.285467,25.857142857142858,31.0,50.714285714285715,1009.8571428571429,22,22.0,22,22,0.9969457,119.662766,25.857142857142858,31.0,50.714285714285715,1009.8571428571429,26,26.0,26,26,0.9997794,11.33105,25.857142857142858,31.0,50.714285714285715,1009.8571428571429,3,3.0,3,3,0.79425746,5.6532307,25.857142857142858,31.0,50.714285714285715,1009.8571428571429
2013-02-03,135,135.0,135,135,0.6817004,5.024916,26.142857142857142,31.428571428571427,43.714285714285715,1009.5714285714286,14,14.0,14,14,0.83064747,76.14903,26.142857142857142,31.428571428571427,43.714285714285715,1009.5714285714286,4,4.0,4,4,0.03998509,1.7432384,26.142857142857142,31.428571428571427,43.714285714285715,1009.5714285714286,2,2.0,2,2,0.55248505,3.7688205,26.142857142857142,31.428571428571427,43.714285714285715,1009.5714285714286
