,casos_4104501,casos_est_4104501,casos_est_min_4104501,casos_est_max_4104501,p_rt1_4104501,p_inc100k_4104501,temp_min_4104501,temp_max_4104501,umid_min_4104501,pressao_min_4104501,casos_4113304,casos_est_4113304,casos_est_min_4113304,casos_est_max_4113304,p_rt1_4113304,p_inc100k_4113304,temp_min_4113304,temp_max_4113304,umid_min_4113304,pressao_min_4113304,casos_4125704,casos_est_4125704,casos_est_min_4125704,casos_est_max_4125704,p_rt1_4125704,p_inc100k_4125704,temp_min_4125704,temp_max_4125704,umid_min_4125704,pressao_min_4125704,casos_4108304,casos_est_4108304,casos_est_min_4108304,casos_est_max_4108304,p_rt1_4108304,p_inc100k_4108304,temp_min_4108304,temp_max_4108304,umid_min_4108304,pressao_min_4108304,casos_4124053,casos_est_4124053,casos_est_min_4124053,casos_est_max_4124053,p_rt1_4124053,p_inc100k_4124053,temp_min_4124053,temp_max_4124053,umid_min_4124053,pressao_min_4124053,casos_4103057,casos_est_4103057,casos_est_min_4103057,casos_est_max_4103057,p_rt1_4103057,p_inc100k_4103057,temp_min_4103057,temp_max_4103057,umid_min_4103057,pressao_min_4103057,casos_4113403,casos_est_4113403,casos_est_min_4113403,casos_est_max_4113403,p_rt1_4113403,p_inc100k_4113403,temp_min_4113403,temp_max_4113403,umid_min_4113403,pressao_min_4113403,casos_4115804,casos_est_4115804,casos_est_min_4115804,casos_est_max_4115804,p_rt1_4115804,p_inc100k_4115804,temp_min_4115804,temp_max_4115804,umid_min_4115804,pressao_min_4115804
2010-06-06,0,0.0,0,0,0.5,0.0,8.857142857142858,18.142857142857142,57.142857142857146,1019.2857142857143,0,0.0,0,0,0.5,0.0,10.5,16.5,69.66666666666667,1020.3333333333334,0,0.0,0,0,0.5,0.0,8.857142857142858,18.142857142857142,57.142857142857146,1019.2857142857143,0,0.0,0,0,0.5,0.0,8.857142857142858,18.142857142857142,57.142857142857146,1019.2857142857143,0,0.0,0,0,0.5,0.0,8.857142857142858,18.142857142857142,57.142857142857146,1019.2857142857143,0,0.0,0,0,0.5,0.0,8.857142857142858,18.142857142857142,57.142857142857146,1019.2857142857143,0,0.0,0,0,0.5,0.0,11.0,19.857142857142858,53.57142857142857,1019.2857142857143,0,0.0,0,0,0.5,0.0,8.857142857142858,18.142857142857142,57.142857142857146,1019.2857142857143
2010-06-13,0,0.0,0,0,0.5,0.0,10.142857142857142,21.571428571428573,43.714285714285715,1019.4285714285714,0,0.0,0,0,0.5,0.0,12.142857142857142,19.428571428571427,49.42857142857143,1021.7142857142857,0,0.0,0,0,0.5,0.0,10.142857142857142,21.571428571428573,43.714285714285715,1019.4285714285714,0,0.0,0,0,0.5,0.0,10.142857142857142,21.571428571428573,43.714285714285715,1019.4285714285714,0,0.0,0,0,0.5,0.0,10.142857142857142,21.571428571428573,43.714285714285715,1019.4285714285714,0,0.0,0,0,0.5,0.0,10.142857142857142,21.571428571428573,43.714285714285715,1019.4285714285714,0,0.0,0,0,0.5,0.0,10.0,20.571428571428573,47.57142857142857,1021.4285714285714,0,0.0,0,0,0.5,0.0,10.142857142857142,21.571428571428573,43.714285714285715,1019.4285714285714
2010-06-20,0,0.0,0,0,0.5,0.0,15.285714285714286,25.285714285714285,45.714285714285715,1009.8571428571429,0,0.0,0,0,0.5,0.0,16.285714285714285,23.0,56.285714285714285,1014.1428571428571,0,0.0,0,0,0.5,0.0,15.285714285714286,25.285714285714285,45.714285714285715,1009.8571428571429,0,0.0,0,0,0.5,0.0,15.285714285714286,25.285714285714285,45.714285714285715,1009.8571428571429,0,0.0,0,0,0.5,0.0,15.285714285714286,25.285714285714285,45.714285714285715,1009.8571428571429,0,0.0,0,0,0.5,0.0,15.285714285714286,25.285714285714285,45.714285714285715,1009.8571428571429,0,0.0,0,0,0.5,0.0,12.571428571428571,25.714285714285715,42.57142857142857,1015.0,0,0.0,0,0,0.5,0.0,15.285714285714286,25.285714285714285,45.714285714285715,1009.8571428571429
2010-06-27,0,0.0,0,0,0.5,0.0,12.571428571428571,23.428571428571427,44.142857142857146,1014.0,0,0.0,0,0,0.5,0.0,15.285714285714286,21.714285714285715,58.142857142857146,1017.0,0,0.0,0,0,0.5,0.0,12.571428571428571,23.428571428571427,44.142857142857146,1014.0,0,0.0,0,0,0.5,0.0,12.571428571428571,23.428571428571427,44.142857142857146,1014.0,0,0.0,0,0,0.5,0.0,12.571428571428571,23.428571428571427,44.142857142857146,1014.0,0,0.0,0,0,0.5,0.0,12.571428571428571,23.428571428571427,44.142857142857146,1014.0,0,0.0,0,0,0.5,0.0,14.714285714285714,24.857142857142858,51.0,1017.7142857142857,0,0.0,0,0,0.5,0.0,12.571428571428571,23.428571428571427,44.142857142857146,1014.0
2010-07-04,0,0.0,0,0,0.5,0.0,14.0,25.142857142857142,42.0,1016.5714285714286,0,0.0,0,0,0.5,0.0,15.142857142857142,23.714285714285715,47.285714285714285,1020.1428571428571,0,0.0,0,0,0.5,0.0,14.0,25.142857142857142,42.0,1016.5714285714286,0,0.0,0,0,0.5,0.0,14.0,25.142857142857142,42.0,1016.5714285714286,0,0.0,0,0,0.5,0.0,14.0,25.142857142857142,42.0,1016.5714285714286,0,0.0,0,0,0.5,0.0,14.0,25.142857142857142,42.0,1016.5714285714286,0,0.0,0,0,0.5,0.0,12.285714285714286,24.428571428571427,41.285714285714285,1020.1428571428571,0,0.0,0,0,0.5,0.0,14.0,25.142857142857142,42.0,1016.5714285714286
2010-07-11,0,0.0,0,0,0.5,0.0,14.285714285714286,24.428571428571427,43.42857142857143,1012.8571428571429,0,0.0,0,0,0.5,0.0,15.428571428571429,23.142857142857142,46.142857142857146,1016.8571428571429,0,0.0,0,0,0.5,0.0,14.285714285714286,24.428571428571427,43.42857142857143,1012.8571428571429,0,0.0,0,0,0.5,0.0,14.285714285714286,24.428571428571427,43.42857142857143,1012.8571428571429,0,0.0,0,0,0.5,0.0,14.285714285714286,24.428571428571427,43.42857142857143,1012.8571428571429,0,0.0,0,0,0.5,0.0,14.285714285714286,24.428571428571427,43.42857142857143,1012.8571428571429,0,0.0,0,0,0.5,0.0,13.714285714285714,25.0,44.42857142857143,1017.1428571428571,0,0.0,0,0,0.5,0.0,14.285714285714286,24.428571428571427,43.42857142857143,1012.8571428571429
2010-07-18,0,0.0,0,0,0.5,0.0,4.285714285714286,12.285714285714286,58.285714285714285,1018.5714285714286,0,0.0,0,0,0.5,0.0,5.857142857142857,12.857142857142858,73.42857142857143,1018.2857142857143,0,0.0,0,0,0.5,0.0,4.285714285714286,12.285714285714286,58.285714285714285,1018.5714285714286,0,0.0,0,0,0.5,0.0,4.285714285714286,12.285714285714286,58.285714285714285,1018.5714285714286,0,0.0,0,0,0.5,0.0,4.285714285714286,12.285714285714286,58.285714285714285,1018.5714285714286,0,0.0,0,0,0.5,0.0,4.285714285714286,12.285714285714286,58.285714285714285,1018.5714285714286,0,0.0,0,0,0.5,0.0,12.428571428571429,20.285714285714285,62.714285714285715,1017.8571428571429,0,0.0,0,0,0.5,0.0,4.285714285714286,12.285714285714286,58.285714285714285,1018.5714285714286
2010-07-25,0,0.0,0,0,0.5,0.0,9.0,18.571428571428573,63.0,1015.0,0,0.0,0,0,0.5,0.0,10.2,18.2,70.8,1017.0,0,0.0,0,0,0.5,0.0,9.0,18.571428571428573,63.0,1015.0,0,0.0,0,0,0.5,0.0,9.0,18.571428571428573,63.0,1015.0,0,0.0,0,0,0.5,0.0,9.0,18.571428571428573,63.0,1015.0,0,0.0,0,0,0.5,0.0,9.0,18.571428571428573,63.0,1015.0,0,0.0,0,0,0.5,0.0,14.428571428571429,25.857142857142858,46.0,1018.1428571428571,0,0.0,0,0,0.5,0.0,9.0,18.571428571428573,63.0,1015.0
2010-08-01,0,0.0,0,0,0.5,0.0,10.285714285714286,23.285714285714285,35.857142857142854,1014.4285714285714,0,0.0,0,0,0.5,0.0,13.571428571428571,21.428571428571427,43.285714285714285,1017.0,0,0.0,0,0,0.5,0.0,10.285714285714286,23.285714285714285,35.857142857142854,1014.4285714285714,0,0.0,0,0,0.5,0.0,10.285714285714286,23.285714285714285,35.857142857142854,1014.4285714285714,0,0.0,0,0,0.5,0.0,10.285714285714286,23.285714285714285,35.857142857142854,1014.4285714285714,0,0.0,0,0,0.5,0.0,10.285714285714286,23.285714285714285,35.857142857142854,1014.4285714285714,0,0.0,0,0,0.5,0.0,14.571428571428571,26.428571428571427,37.285714285714285,1016.8571428571429,0,0.0,0,0,0.5,0.0,10.285714285714286,23.285714285714285,35.857142857142854,1014.4285714285714
2010-08-08,0,0.0,0,0,0.5,0.0,5.142857142857143,16.142857142857142,49.285714285714285,888.2857142857143,0,0.0,0,0,0.5,0.0,8.285714285714286,14.142857142857142,69.57142857142857,1020.8571428571429,0,0.0,0,0,0.5,0.0,5.142857142857143,16.142857142857142,49.285714285714285,888.2857142857143,0,0.0,0,0,0.5,0.0,5.142857142857143,16.142857142857142,49.285714285714285,888.2857142857143,0,0.0,0,0,0.5,0.0,5.142857142857143,16.142857142857142,49.285714285714285,888.2857142857143,0,0.0,0,0,0.5,0.0,5.142857142857143,16.142857142857142,49.285714285714285,888.2857142857143,0,0.0,0,0,0.5,0.0,10.0,20.0,55.285714285714285,1019.7142857142857,0,0.0,0,0,0.5,0.0,5.142857142857143,16.142857142857142,49.285714285714285,888.2857142857143
2010-08-15,0,0.0,0,0,0.5,0.0,9.142857142857142,20.285714285714285,43.0,1017.1428571428571,0,0.0,0,0,0.5,0.0,10.428571428571429,18.428571428571427,51.142857142857146,1018.7142857142857,0,0.0,0,0,0.5,0.0,9.142857142857142,20.285714285714285,43.0,1017.1428571428571,0,0.0,0,0,0.5,0.0,9.142857142857142,20.285714285714285,43.0,1017.1428571428571,0,0.0,0,0,0.5,0.0,9.142857142857142,20.285714285714285,43.0,1017.1428571428571,0,0.0,0,0,0.5,0.0,9.142857142857142,20.285714285714285,43.0,1017.1428571428571,0,0.0,0,0,0.5,0.0,10.857142857142858,24.142857142857142,35.857142857142854,1018.2857142857143,0,0.0,0,0,0.5,0.0,9.142857142857142,20.285714285714285,43.0,1017.1428571428571
