,casos_2516300,casos_est_2516300,casos_est_min_2516300,casos_est_max_2516300,p_rt1_2516300,p_inc100k_2516300,temp_min_2516300,temp_max_2516300,umid_min_2516300,pressao_min_2516300,casos_2512408,casos_est_2512408,casos_est_min_2512408,casos_est_max_2512408,p_rt1_2512408,p_inc100k_2512408,temp_min_2512408,temp_max_2512408,umid_min_2512408,pressao_min_2512408,casos_2510303,casos_est_2510303,casos_est_min_2510303,casos_est_max_2510303,p_rt1_2510303,p_inc100k_2510303,temp_min_2510303,temp_max_2510303,umid_min_2510303,pressao_min_2510303,casos_2507507,casos_est_2507507,casos_est_min_2507507,casos_est_max_2507507,p_rt1_2507507,p_inc100k_2507507,temp_min_2507507,temp_max_2507507,umid_min_2507507,pressao_min_2507507,casos_2505105,casos_est_2505105,casos_est_min_2505105,casos_est_max_2505105,p_rt1_2505105,p_inc100k_2505105,temp_min_2505105,temp_max_2505105,umid_min_2505105,pressao_min_2505105,casos_2502151,casos_est_2502151,casos_est_min_2502151,casos_est_max_2502151,p_rt1_2502151,p_inc100k_2502151,temp_min_2502151,temp_max_2502151,umid_min_2502151,pressao_min_2502151
2011-02-20,1,1.0,1,1,0.5540634,5.871646,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,71,71.0,71,71,0.99008226,8.684898,,,,,6,6.0,6,6,0.98381406,29.507229,,,,,0,0.0,0,0,0.5,0.0,21.326996,31.210175,51.389755,0.9970032
2011-02-27,1,1.0,1,1,0.58240587,5.871646,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.5,0.0,,,,,86,86.0,86,86,0.99020463,10.519736,,,,,4,4.0,4,4,0.7652851,19.671486,,,,,6,6.0,6,6,0.9975692,84.08072,21.326996,31.210175,51.389755,0.9970032
2011-03-06,5,5.0,5,5,0.96771777,29.358229,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.9632679,20.165356,,,,,129,129.0,129,129,0.99996567,15.779604,,,,,5,5.0,5,5,0.6468266,24.589357,,,,,5,5.0,5,5,0.91695285,70.06727,21.2790528,30.856597799999996,51.688784999999996,0.9952804239999999
2011-03-13,1,1.0,1,1,0.26542547,5.871646,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.8145292,20.165356,,,,,165,165.0,165,165,0.9999939,20.183214,,,,,4,4.0,4,4,0.42412713,19.671486,,,,,1,1.0,1,1,0.07924709,14.013453,21.778974285714288,30.38061957142857,54.93862442857142,0.9953132014285714
2011-03-20,1,1.0,1,1,0.1664427,5.871646,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.6177504,20.165356,,,,,195,195.0,195,195,0.9999332,23.85289,,,,,5,5.0,5,5,0.56336826,24.589357,,,,,2,2.0,2,2,0.20858261,28.026905,21.823120000000003,31.869751,46.8928755,0.9965565999999999
2011-03-27,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.9632679,7.2774906,,,,,1,1.0,1,1,0.52236325,20.165356,,,,,242,242.0,242,242,0.999966,29.602049,,,,,12,12.0,12,12,0.9640473,59.014458,,,,,1,1.0,1,1,0.18040684,14.013453,21.823120000000003,31.869751,46.8928755,0.9965565999999999
2011-04-03,1,1.0,1,1,0.51070976,5.871646,,,,,0,0.0,0,0,0.0,0.0,,,,,3,3.0,3,3,0.8580085,60.496067,,,,,215,215.0,215,215,0.83566606,26.299341,,,,,6,6.0,6,6,0.44426766,29.507229,,,,,4,4.0,4,4,0.84192437,56.05381,21.823120000000003,31.869751,46.8928755,0.9965565999999999
2011-04-10,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.730556,7.2774906,,,,,1,1.0,1,1,0.35867798,20.165356,,,,,194,194.0,194,194,0.14134529,23.730568,,,,,10,10.0,10,10,0.6646438,49.178715,,,,,2,2.0,2,2,0.4921322,28.026905,21.823120000000003,31.869751,46.8928755,0.9965565999999999
2011-04-17,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.6887573,7.2774906,,,,,0,0.0,0,0,0.0,0.0,,,,,143,143.0,143,143,0.00016264588,17.492119,,,,,5,5.0,5,5,0.1753287,24.589357,21.7429505,29.453766,64.8698285,0.99621859,0,0.0,0,0,0.0,0.0,21.2301025,30.547455,52.972331,0.99625035
2011-04-24,0,0.0,0,0,0.0,0.0,,,,,2,2.0,2,2,0.8033091,14.554981,,,,,2,2.0,2,2,0.67235935,40.33071,,,,,208,208.0,208,208,0.82750046,25.443083,,,,,0,0.0,0,0,0.0,0.0,21.166155142857143,27.53761928571429,70.02646142857142,0.9967887671428571,0,0.0,0,0,0.0,0.0,21.011457,28.10276142857143,63.67175757142858,0.9968678757142857
