,casos_2312403,casos_est_2312403,casos_est_min_2312403,casos_est_max_2312403,p_rt1_2312403,p_inc100k_2312403,temp_min_2312403,temp_max_2312403,umid_min_2312403,pressao_min_2312403,casos_2303709,casos_est_2303709,casos_est_min_2303709,casos_est_max_2303709,p_rt1_2303709,p_inc100k_2303709,temp_min_2303709,temp_max_2303709,umid_min_2303709,pressao_min_2303709
2011-09-11,0,0.0,0,0,0.5,0.0,22.428571428571427,29.714285714285715,46.42857142857143,1011.0,0,0.0,0,0,0.5,0.0,22.428571428571427,29.714285714285715,46.42857142857143,1011.0
2011-09-18,0,0.0,0,0,0.5,0.0,23.0,29.857142857142858,44.285714285714285,1010.8571428571429,0,0.0,0,0,0.5,0.0,23.0,29.857142857142858,44.285714285714285,1010.8571428571429
2011-09-25,0,0.0,0,0,0.5,0.0,22.571428571428573,29.857142857142858,45.0,1010.4285714285714,0,0.0,0,0,0.5,0.0,22.571428571428573,29.857142857142858,45.0,1010.4285714285714
2011-10-02,0,0.0,0,0,0.5,0.0,23.857142857142858,29.571428571428573,51.142857142857146,1010.4285714285714,0,0.0,0,0,0.5,0.0,23.857142857142858,29.571428571428573,51.142857142857146,1010.4285714285714
2011-10-09,0,0.0,0,0,0.5,0.0,24.285714285714285,30.0,44.857142857142854,1009.4285714285714,0,0.0,0,0,0.5,0.0,24.285714285714285,30.0,44.857142857142854,1009.4285714285714
2011-10-16,0,0.0,0,0,0.5,0.0,24.714285714285715,28.714285714285715,59.142857142857146,1007.5714285714286,0,0.0,0,0,0.5,0.0,24.714285714285715,28.714285714285715,59.142857142857146,1007.5714285714286
2011-10-23,0,0.0,0,0,0.5,0.0,24.285714285714285,28.714285714285715,60.42857142857143,1008.4285714285714,0,0.0,0,0,0.5,0.0,24.285714285714285,28.714285714285715,60.42857142857143,1008.4285714285714
2011-10-30,0,0.0,0,0,0.5,0.0,24.428571428571427,29.428571428571427,55.285714285714285,1008.2857142857143,0,0.0,0,0,0.5,0.0,24.428571428571427,29.428571428571427,55.285714285714285,1008.2857142857143
2011-11-06,0,0.0,0,0,0.5,0.0,24.571428571428573,29.142857142857142,56.57142857142857,1009.1428571428571,0,0.0,0,0,0.5,0.0,24.571428571428573,29.142857142857142,56.57142857142857,1009.1428571428571
2011-11-13,0,0.0,0,0,0.5,0.0,24.0,29.571428571428573,56.857142857142854,880.5714285714286,1,1.0,1,1,0.9632679,0.27381358,24.0,29.571428571428573,56.857142857142854,880.5714285714286
2011-11-20,0,0.0,0,0,0.5,0.0,24.571428571428573,29.571428571428573,57.42857142857143,1008.4285714285714,0,0.0,0,0,0.0,0.0,24.571428571428573,29.571428571428573,57.42857142857143,1008.4285714285714
2011-11-27,0,0.0,0,0,0.5,0.0,24.714285714285715,29.857142857142858,55.285714285714285,1009.1428571428571,0,0.0,0,0,0.0,0.0,24.714285714285715,29.857142857142858,55.285714285714285,1009.1428571428571
2011-12-04,0,0.0,0,0,0.5,0.0,24.714285714285715,29.714285714285715,55.285714285714285,1008.2857142857143,0,0.0,0,0,0.0,0.0,24.714285714285715,29.714285714285715,55.285714285714285,1008.2857142857143
2011-12-11,0,0.0,0,0,0.5,0.0,24.571428571428573,29.714285714285715,55.42857142857143,1007.5714285714286,0,0.0,0,0,0.0,0.0,24.571428571428573,29.714285714285715,55.42857142857143,1007.5714285714286
2011-12-18,0,0.0,0,0,0.5,0.0,24.571428571428573,29.571428571428573,54.857142857142854,1008.7142857142857,0,0.0,0,0,0.0,0.0,24.571428571428573,29.571428571428573,54.857142857142854,1008.7142857142857
2011-12-25,0,0.0,0,0,0.5,0.0,25.0,29.714285714285715,56.57142857142857,1009.2857142857143,0,0.0,0,0,0.0,0.0,25.0,29.714285714285715,56.57142857142857,1009.2857142857143
2012-01-01,0,0.0,0,0,0.5,0.0,25.0,29.875,59.875,1010.75,0,0.0,0,0,0.0,0.0,25.0,29.875,59.875,1010.75
2012-01-08,0,0.0,0,0,0.5,0.0,25.285714285714285,30.0,54.857142857142854,1009.4285714285714,0,0.0,0,0,0.0,0.0,25.285714285714285,30.0,54.857142857142854,1009.4285714285714
2012-01-15,0,0.0,0,0,0.5,0.0,25.142857142857142,30.0,56.0,1009.2857142857143,0,0.0,0,0,0.0,0.0,25.142857142857142,30.0,56.0,1009.2857142857143
2012-01-22,0,0.0,0,0,0.5,0.0,23.714285714285715,28.857142857142858,63.285714285714285,1008.5714285714286,0,0.0,0,0,0.0,0.0,23.714285714285715,28.857142857142858,63.285714285714285,1008.5714285714286
2012-01-29,0,0.0,0,0,0.5,0.0,24.714285714285715,29.285714285714285,59.142857142857146,1008.1428571428571,0,0.0,0,0,0.0,0.0,24.714285714285715,29.285714285714285,59.142857142857146,1008.1428571428571
2012-02-05,0,0.0,0,0,0.5,0.0,24.857142857142858,29.428571428571427,57.0,1007.7142857142857,0,0.0,0,0,0.0,0.0,24.857142857142858,29.428571428571427,57.0,1007.7142857142857
2012-02-12,0,0.0,0,0,0.5,0.0,24.714285714285715,29.714285714285715,58.285714285714285,1008.0,0,0.0,0,0,0.0,0.0,24.714285714285715,29.714285714285715,58.285714285714285,1008.0
2012-02-19,0,0.0,0,0,0.5,0.0,22.571428571428573,27.857142857142858,67.85714285714286,1008.4285714285714,0,0.0,0,0,0.0,0.0,22.571428571428573,27.857142857142858,67.85714285714286,1008.4285714285714
2012-02-26,0,0.0,0,0,0.5,0.0,22.857142857142858,29.0,59.42857142857143,1008.1428571428571,0,0.0,0,0,0.0,0.0,22.857142857142858,29.0,59.42857142857143,1008.1428571428571
2012-03-04,0,0.0,0,0,0.5,0.0,23.285714285714285,28.571428571428573,58.42857142857143,1009.1428571428571,0,0.0,0,0,0.0,0.0,23.285714285714285,28.571428571428573,58.42857142857143,1009.1428571428571
2012-03-11,0,0.0,0,0,0.5,0.0,23.285714285714285,29.428571428571427,54.857142857142854,1008.8571428571429,0,0.0,0,0,0.0,0.0,23.285714285714285,29.428571428571427,54.857142857142854,1008.8571428571429
2012-03-18,0,0.0,0,0,0.5,0.0,23.571428571428573,28.714285714285715,60.714285714285715,879.1428571428571,0,0.0,0,0,0.0,0.0,23.571428571428573,28.714285714285715,60.714285714285715,879.1428571428571
2012-03-25,0,0.0,0,0,0.5,0.0,23.428571428571427,29.428571428571427,59.57142857142857,1008.2857142857143,0,0.0,0,0,0.0,0.0,23.428571428571427,29.428571428571427,59.57142857142857,1008.2857142857143
2012-04-01,0,0.0,0,0,0.5,0.0,23.714285714285715,29.0,60.42857142857143,1009.5714285714286,0,0.0,0,0,0.0,0.0,23.714285714285715,29.0,60.42857142857143,1009.5714285714286
2012-04-08,0,0.0,0,0,0.5,0.0,25.285714285714285,30.285714285714285,55.0,1008.1428571428571,1,1.0,1,1,0.9632679,0.27381358,25.285714285714285,30.285714285714285,55.0,1008.1428571428571
2012-04-15,0,0.0,0,0,0.5,0.0,25.142857142857142,30.142857142857142,50.285714285714285,1009.2857142857143,0,0.0,0,0,0.0,0.0,25.142857142857142,30.142857142857142,50.285714285714285,1009.2857142857143
2012-04-22,0,0.0,0,0,0.5,0.0,24.714285714285715,29.428571428571427,61.42857142857143,750.0,0,0.0,0,0,0.0,0.0,24.714285714285715,29.428571428571427,61.42857142857143,750.0
2012-04-29,0,0.0,0,0,0.5,0.0,25.142857142857142,30.0,55.142857142857146,1008.8571428571429,0,0.0,0,0,0.0,0.0,25.142857142857142,30.0,55.142857142857146,1008.8571428571429
2012-05-06,0,0.0,0,0,0.5,0.0,25.0,30.428571428571427,52.57142857142857,1009.4285714285714,0,0.0,0,0,0.0,0.0,25.0,30.428571428571427,52.57142857142857,1009.4285714285714
2012-05-13,0,0.0,0,0,0.5,0.0,25.142857142857142,29.857142857142858,52.57142857142857,879.8571428571429,0,0.0,0,0,0.0,0.0,25.142857142857142,29.857142857142858,52.57142857142857,879.8571428571429
2012-05-20,0,0.0,0,0,0.5,0.0,24.857142857142858,29.428571428571427,57.857142857142854,1010.0,0,0.0,0,0,0.0,0.0,24.857142857142858,29.428571428571427,57.857142857142854,1010.0
2012-05-27,0,0.0,0,0,0.5,0.0,24.142857142857142,29.428571428571427,54.857142857142854,881.0,0,0.0,0,0,0.0,0.0,24.142857142857142,29.428571428571427,54.857142857142854,881.0
2012-06-03,0,0.0,0,0,0.5,0.0,24.428571428571427,29.714285714285715,54.714285714285715,1011.7142857142857,0,0.0,0,0,0.0,0.0,24.428571428571427,29.714285714285715,54.714285714285715,1011.7142857142857
2012-06-10,0,0.0,0,0,0.5,0.0,24.714285714285715,29.714285714285715,52.42857142857143,1011.0,0,0.0,0,0,0.0,0.0,24.714285714285715,29.714285714285715,52.42857142857143,1011.0
2012-06-17,0,0.0,0,0,0.5,0.0,24.142857142857142,29.428571428571427,50.0,1010.7142857142857,0,0.0,0,0,0.0,0.0,24.142857142857142,29.428571428571427,50.0,1010.7142857142857
2012-06-24,0,0.0,0,0,0.5,0.0,24.285714285714285,29.0,60.285714285714285,1011.8571428571429,0,0.0,0,0,0.0,0.0,24.285714285714285,29.0,60.285714285714285,1011.8571428571429
2012-07-01,0,0.0,0,0,0.5,0.0,23.571428571428573,29.571428571428573,45.285714285714285,881.5714285714286,0,0.0,0,0,0.0,0.0,23.571428571428573,29.571428571428573,45.285714285714285,881.5714285714286
2012-07-08,0,0.0,0,0,0.5,0.0,23.857142857142858,29.857142857142858,46.857142857142854,1010.1428571428571,1,1.0,1,1,0.9632679,0.27381358,23.857142857142858,29.857142857142858,46.857142857142854,1010.1428571428571
