data_iniSE,casos_3302601,casos_3302700,casos_3303401,casos_3303500,casos_3303609,casos_3303807,casos_3303906,casos_3304003,casos_3304102,casos_3304755,casos_3304805,casos_3303856,casos_3300456,casos_3301157,casos_3300100,casos_3300159,casos_3300209,casos_3300225,casos_3300233,casos_3300258,casos_3300308,casos_3302304,casos_3302403,casos_3300506,casos_3300902,casos_3300936,casos_3300951,casos_3303203,casos_3301207,casos_3301504,casos_3301603,casos_3301801,casos_3302452,casos_3301850,casos_3301876,casos_3302056,casos_3302254,casos_3303708,casos_3302270,casos_3302502,casos_3302809,casos_3302858,casos_3303005,casos_3303955,casos_3304110,casos_3304144,casos_3304151,casos_3304904,casos_3305000,casos_3305109,casos_3305133,casos_3305208,casos_3305505,casos_3305554,casos_3305752,casos_3306008,casos_3306305,casos_3304607,casos_3304706,casos_3300407,casos_3300605,casos_3300704,casos_3300803,casos_3301009,casos_3301108,casos_3301306,casos_3301405,casos_3301702,casos_3302908,casos_3301900,casos_3302007,casos_3302106,casos_3302205,casos_3303104,casos_3303302,casos_3304128,casos_3304201,casos_3304300,casos_3304409,casos_3304508,casos_3304524,casos_3304557,casos_3305158,casos_3305307,casos_3305406,casos_3305604,casos_3305703,casos_3305802,casos_3305901,casos_3306107,casos_3306156,casos_3306206
2010-06-13,0,1,0,9,1,9,0,1,0,0,6,0,36,1,37,0,23,0,0,0,2,0,28,0,0,1,0,1,0,3,0,0,0,1,3,11,1,0,0,4,0,0,1,0,0,1,3,57,7,32,0,1,0,0,0,0,2,0,0,2,2,76,0,232,2,0,0,28,0,43,5,0,60,1,53,0,3,9,0,0,9,93,0,0,0,0,0,0,0,14,0,1
2010-06-20,3,1,1,14,0,24,0,0,0,0,7,0,29,0,41,1,26,0,0,0,0,0,19,0,0,1,0,3,0,1,1,0,0,1,4,10,0,1,0,7,0,3,0,0,0,2,1,42,6,28,0,1,0,0,0,2,2,0,0,2,3,38,0,243,1,0,0,41,0,45,4,0,47,3,49,0,1,3,0,1,6,79,0,0,0,1,0,0,0,15,0,2
2010-06-27,1,1,1,18,0,9,5,0,1,0,6,1,24,0,44,0,23,0,0,2,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,4,0,1,1,2,4,37,6,31,0,1,1,1,0,1,1,0,1,1,1,78,0,332,2,0,0,44,0,29,5,0,27,6,39,1,3,5,0,0,4,84,0,0,0,0,0,0,0,18,0,0
2010-07-04,3,2,3,21,0,9,2,2,0,0,7,0,32,2,42,0,29,0,4,0,0,0,26,0,0,1,0,1,0,1,0,0,0,2,0,3,0,0,0,11,0,1,0,2,1,0,2,29,8,50,0,3,11,2,1,3,2,0,0,1,6,57,2,309,3,0,0,43,0,36,4,0,30,1,41,1,3,5,0,0,14,101,0,0,0,0,0,0,0,9,0,0
2010-07-11,3,0,2,20,0,1,1,0,0,0,6,0,33,2,27,0,17,0,1,0,1,0,21,0,0,0,1,0,0,0,1,0,0,0,4,3,0,0,0,9,0,1,0,0,1,0,3,32,2,55,0,0,16,1,1,0,2,0,0,2,3,49,0,267,0,1,1,39,0,35,4,0,28,1,24,0,2,4,0,0,5,95,0,0,0,0,0,0,0,4,0,0
2010-07-18,2,2,0,19,0,2,2,0,0,3,5,0,22,1,16,0,13,0,1,1,0,0,17,0,0,1,0,1,0,0,0,0,0,1,1,2,0,0,0,7,0,3,0,0,0,0,1,26,1,47,0,1,0,1,0,3,7,0,0,1,4,16,1,213,0,0,0,33,0,34,0,0,24,1,23,0,3,6,0,0,7,91,0,0,0,0,0,0,0,5,0,0
2010-07-25,1,8,0,28,0,0,3,1,0,3,8,0,29,0,11,0,4,0,1,0,2,0,9,0,0,0,0,1,1,3,0,0,0,3,6,1,0,0,0,6,0,2,0,0,0,0,1,24,2,34,0,0,0,0,0,0,9,0,0,2,11,29,0,197,1,0,0,40,1,69,2,0,19,1,38,0,1,5,0,0,2,126,0,0,0,0,0,0,0,4,0,0
2010-08-01,0,9,3,20,0,0,1,0,0,1,7,0,14,0,13,0,4,0,0,1,3,0,7,0,1,0,0,0,0,3,0,0,1,2,1,0,0,0,0,10,0,1,0,0,0,0,1,24,2,26,0,0,4,0,0,0,2,0,3,0,6,23,1,156,0,0,1,46,0,59,1,0,29,0,35,0,0,0,0,0,6,129,0,0,0,0,0,0,0,2,0,0
2010-08-08,4,29,3,30,0,0,0,1,0,4,5,0,7,2,11,0,6,0,0,2,1,0,12,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,13,0,5,0,1,0,1,2,36,4,25,0,0,22,1,0,2,1,0,2,0,3,34,0,147,0,0,0,45,0,58,1,0,18,0,27,0,1,2,0,0,7,109,0,0,0,0,0,1,0,1,0,0
2010-08-15,5,8,0,21,0,0,1,0,0,0,4,0,15,1,9,0,12,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,4,0,24,1,19,0,0,33,0,0,0,0,0,4,3,2,27,0,121,0,0,0,34,0,26,4,0,4,0,35,0,0,0,0,0,5,81,0,0,0,0,0,0,0,2,0,0
