,casos_2307650,casos_est_2307650,casos_est_min_2307650,casos_est_max_2307650,p_rt1_2307650,p_inc100k_2307650,temp_min_2307650,temp_max_2307650,umid_min_2307650,pressao_min_2307650,casos_2309458,casos_est_2309458,casos_est_min_2309458,casos_est_max_2309458,p_rt1_2309458,p_inc100k_2309458,temp_min_2309458,temp_max_2309458,umid_min_2309458,pressao_min_2309458,casos_2302800,casos_est_2302800,casos_est_min_2302800,casos_est_max_2302800,p_rt1_2302800,p_inc100k_2302800,temp_min_2302800,temp_max_2302800,umid_min_2302800,pressao_min_2302800,casos_2304400,casos_est_2304400,casos_est_min_2304400,casos_est_max_2304400,p_rt1_2304400,p_inc100k_2304400,temp_min_2304400,temp_max_2304400,umid_min_2304400,pressao_min_2304400,casos_2306256,casos_est_2306256,casos_est_min_2306256,casos_est_max_2306256,p_rt1_2306256,p_inc100k_2306256,temp_min_2306256,temp_max_2306256,umid_min_2306256,pressao_min_2306256,casos_2304285,casos_est_2304285,casos_est_min_2304285,casos_est_max_2304285,p_rt1_2304285,p_inc100k_2304285,temp_min_2304285,temp_max_2304285,umid_min_2304285,pressao_min_2304285,casos_2303709,casos_est_2303709,casos_est_min_2303709,casos_est_max_2303709,p_rt1_2303709,p_inc100k_2303709,temp_min_2303709,temp_max_2303709,umid_min_2303709,pressao_min_2303709,casos_2302107,casos_est_2302107,casos_est_min_2302107,casos_est_max_2302107,p_rt1_2302107,p_inc100k_2302107,temp_min_2302107,temp_max_2302107,umid_min_2302107,pressao_min_2302107,casos_2302008,casos_est_2302008,casos_est_min_2302008,casos_est_max_2302008,p_rt1_2302008,p_inc100k_2302008,temp_min_2302008,temp_max_2302008,umid_min_2302008,pressao_min_2302008
2010-06-27,19,19.0,19,19,0.5623544,8.280382,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.784609,1.2945989,23.042699166666665,31.7277935,49.59503916666667,0.9962434533333333,129,129.0,129,129,0.30893067,4.8015866,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.66136146,0.27381358,26.367950333333336,29.1828715,71.656055,0.9961967183333332,0,0.0,0,0,0.0,0.0,23.042902666666667,31.252883999999998,53.54237033333334,0.9961936733333334,1,1.0,1,1,0.26118216,4.394059,22.64002483333333,32.573746,41.397844666666664,0.9962263766666667
2010-07-04,14,14.0,14,14,0.28633317,6.1013346,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,23.042699166666665,31.7277935,49.59503916666667,0.9962434533333333,162,162.0,162,162,0.95332414,6.0298996,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,26.367950333333336,29.1828715,71.656055,0.9961967183333332,0,0.0,0,0,0.0,0.0,23.042902666666667,31.252883999999998,53.54237033333334,0.9961936733333334,5,5.0,5,5,0.9555545,21.970297,22.64002483333333,32.573746,41.397844666666664,0.9962263766666667
2010-07-11,21,21.0,21,21,0.76787305,9.152001,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,23.042699166666665,31.7277935,49.59503916666667,0.9962434533333333,182,182.0,182,182,0.9918118,6.7743316,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,26.367950333333336,29.1828715,71.656055,0.9961967183333332,0,0.0,0,0,0.0,0.0,23.042902666666667,31.252883999999998,53.54237033333334,0.9961936733333334,0,0.0,0,0,0.0,0.0,22.64002483333333,32.573746,41.397844666666664,0.9962263766666667
2010-07-18,24,24.0,24,24,0.85182244,10.459431,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,23.042699166666665,31.7277935,49.59503916666667,0.9962434533333333,207,207.0,207,207,0.9945772,7.704871,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,26.367950333333336,29.1828715,71.656055,0.9961967183333332,0,0.0,0,0,0.0,0.0,23.042902666666667,31.252883999999998,53.54237033333334,0.9961936733333334,0,0.0,0,0,0.0,0.0,22.64002483333333,32.573746,41.397844666666664,0.9962263766666667
2010-07-25,19,19.0,19,19,0.4556732,8.280382,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,23.042699166666665,31.7277935,49.59503916666667,0.9962434533333333,151,151.0,151,151,0.070902996,5.620462,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.9603104,1.8403666,,,,,1,1.0,1,1,0.9278832,0.27381358,26.367950333333336,29.1828715,71.656055,0.9961967183333332,0,0.0,0,0,0.0,0.0,23.042902666666667,31.252883999999998,53.54237033333334,0.9961936733333334,2,2.0,2,2,0.6513691,8.788118,22.64002483333333,32.573746,41.397844666666664,0.9962263766666667
2010-08-01,19,19.0,19,19,0.36750835,8.280382,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,23.042699166666665,31.7277935,49.59503916666667,0.9962434533333333,171,171.0,171,171,0.28374004,6.364894,,,,,0,0.0,0,0,0.0,0.0,,,,,2,2.0,2,2,0.921865,3.6807332,,,,,0,0.0,0,0,0.0,0.0,26.367950333333336,29.1828715,71.656055,0.9961967183333332,0,0.0,0,0,0.0,0.0,23.042902666666667,31.252883999999998,53.54237033333334,0.9961936733333334,3,3.0,3,3,0.8882681,13.182178,22.64002483333333,32.573746,41.397844666666664,0.9962263766666667
2010-08-08,17,17.0,17,17,0.30321592,7.4087634,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,23.042699166666665,31.7277935,49.59503916666667,0.9962434533333333,186,186.0,186,186,0.76552665,6.923218,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.73048824,0.27381358,26.367950333333336,29.1828715,71.656055,0.9961967183333332,0,0.0,0,0,0.0,0.0,23.042902666666667,31.252883999999998,53.54237033333334,0.9961936733333334,0,0.0,0,0,0.0,0.0,22.64002483333333,32.573746,41.397844666666664,0.9962263766666667
2010-08-15,18,18.0,18,18,0.45653304,7.844573,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,23.042699166666665,31.7277935,49.59503916666667,0.9962434533333333,180,180.0,180,180,0.67532945,6.699888,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,26.367950333333336,29.1828715,71.656055,0.9961967183333332,0,0.0,0,0,0.0,0.0,23.042902666666667,31.252883999999998,53.54237033333334,0.9961936733333334,1,1.0,1,1,0.30031952,4.394059,22.64002483333333,32.573746,41.397844666666664,0.9962263766666667
2010-08-22,28,28.0,28,28,0.9237082,12.202669,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,23.042699166666665,31.7277935,49.59503916666667,0.9962434533333333,146,146.0,146,146,0.046361357,5.434354,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.6634578,1.8403666,,,,,2,2.0,2,2,0.8679864,0.54762715,26.367950333333336,29.1828715,71.656055,0.9961967183333332,0,0.0,0,0,0.0,0.0,23.042902666666667,31.252883999999998,53.54237033333334,0.9961936733333334,8,8.0,8,8,0.9901694,35.152473,22.64002483333333,32.573746,41.397844666666664,0.9962263766666667
2010-08-29,15,15.0,15,15,0.19608212,6.537144,,,,,0,0.0,0,0,0.0,0.0,,,,,1,1.0,1,1,0.9632679,1.2945989,23.042699166666665,31.7277935,49.59503916666667,0.9962434533333333,173,173.0,173,173,0.53409404,6.439337,,,,,0,0.0,0,0,0.0,0.0,,,,,2,2.0,2,2,0.89358634,3.6807332,,,,,3,3.0,3,3,0.8928279,0.8214407,26.367950333333336,29.1828715,71.656055,0.9961967183333332,0,0.0,0,0,0.0,0.0,23.042902666666667,31.252883999999998,53.54237033333334,0.9961936733333334,2,2.0,2,2,0.3769234,8.788118,22.64002483333333,32.573746,41.397844666666664,0.9962263766666667
2010-09-05,11,11.0,11,11,0.03844431,4.7939057,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,21.84570325,31.7336195,37.292976249999995,0.998472715,197,197.0,197,197,0.9533676,7.3326554,,,,,0,0.0,0,0,0.0,0.0,,,,,2,2.0,2,2,0.7500369,3.6807332,,,,,1,1.0,1,1,0.32266018,0.27381358,24.34519975,28.88439975,54.6215755,0.9986061825,0,0.0,0,0,0.0,0.0,21.93281525,31.97584525,36.84586325,0.9983542925,2,2.0,2,2,0.18368593,8.788118,19.164795,31.638649,33.741053,0.9996958475
2010-09-12,21,21.0,21,21,0.7098014,9.152001,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,21.704031714285716,32.29746385714286,36.017554857142855,0.9977912414285715,140,140.0,140,140,0.043174535,5.2110243,,,,,1,1.0,1,1,0.9632679,2.609263,,,,,1,1.0,1,1,0.3349327,1.8403666,,,,,7,7.0,7,7,0.9512169,1.916695,24.48022042857143,28.695787714285718,57.611348571428564,0.9982163814285714,0,0.0,0,0,0.0,0.0,21.756774857142858,32.49695257142857,36.38228671428571,0.9976918128571429,1,1.0,1,1,0.09971966,4.394059,19.148398142857143,32.243234,31.86486185714286,0.9990448657142856
2010-09-19,5,5.0,5,5,0.009777207,2.179048,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,22.166880000000003,32.948812,33.22039933333333,0.9964834866666666,127,127.0,127,127,0.0062601264,4.7271433,,,,,0,0.0,0,0,0.0,0.0,,,,,0,0.0,0,0,0.0,0.0,,,,,11,11.0,11,11,0.9811105,3.0119493,24.46789533333333,29.32547033333333,53.351504,0.9971611666666668,0,0.0,0,0,0.0,0.0,22.134081000000002,33.210868,33.58900742857143,0.9960560914285714,0,0.0,0,0,0.0,0.0,19.80155728571429,32.84052871428572,31.446577571428573,0.9975770857142857
