,casos_2307650,casos_est_2307650,casos_est_min_2307650,casos_est_max_2307650,p_rt1_2307650,p_inc100k_2307650,temp_min_2307650,temp_max_2307650,umid_min_2307650,pressao_min_2307650,casos_2309458,casos_est_2309458,casos_est_min_2309458,casos_est_max_2309458,p_rt1_2309458,p_inc100k_2309458,temp_min_2309458,temp_max_2309458,umid_min_2309458,pressao_min_2309458,casos_2302800,casos_est_2302800,casos_est_min_2302800,casos_est_max_2302800,p_rt1_2302800,p_inc100k_2302800,temp_min_2302800,temp_max_2302800,umid_min_2302800,pressao_min_2302800,casos_2304400,casos_est_2304400,casos_est_min_2304400,casos_est_max_2304400,p_rt1_2304400,p_inc100k_2304400,temp_min_2304400,temp_max_2304400,umid_min_2304400,pressao_min_2304400,casos_2306256,casos_est_2306256,casos_est_min_2306256,casos_est_max_2306256,p_rt1_2306256,p_inc100k_2306256,temp_min_2306256,temp_max_2306256,umid_min_2306256,pressao_min_2306256,casos_2304285,casos_est_2304285,casos_est_min_2304285,casos_est_max_2304285,p_rt1_2304285,p_inc100k_2304285,temp_min_2304285,temp_max_2304285,umid_min_2304285,pressao_min_2304285,casos_2303709,casos_est_2303709,casos_est_min_2303709,casos_est_max_2303709,p_rt1_2303709,p_inc100k_2303709,temp_min_2303709,temp_max_2303709,umid_min_2303709,pressao_min_2303709,casos_2302107,casos_est_2302107,casos_est_min_2302107,casos_est_max_2302107,p_rt1_2302107,p_inc100k_2302107,temp_min_2302107,temp_max_2302107,umid_min_2302107,pressao_min_2302107,casos_2302008,casos_est_2302008,casos_est_min_2302008,casos_est_max_2302008,p_rt1_2302008,p_inc100k_2302008,temp_min_2302008,temp_max_2302008,umid_min_2302008,pressao_min_2302008
2011-05-01,78,78.0,78,78,1.2069679e-11,33.99315,22.604365714285713,28.713248142857143,74.66650528571428,0.9959076414285715,12,12.0,12,12,0.048115056,46.452213,22.723641571428573,29.93869,70.48977914285715,0.99572184,16,16.0,16,16,0.0617246,20.713583,21.68804942857143,29.020063,69.90002328571428,0.9961032214285714,1911,1911.0,1911,1911,0.0,71.13048,24.448926857142858,27.908573714285716,78.92957542857143,0.9958063142857144,23,23.0,23,23,0.25390074,60.013046,23.447330857142855,28.733372285714285,76.12248714285714,0.9957714057142857,32,32.0,32,32,0.18169016,58.89173,24.448926857142858,27.908573714285716,78.92957542857143,0.9958063142857144,98,98.0,98,98,0.1446502,26.833729,24.813563714285717,27.584463714285715,78.85141999999999,0.9958262885714285,13,13.0,13,13,0.3876572,36.17039,21.805110428571428,29.175127,70.45851857142857,0.9960461385714287,27,27.0,27,27,0.23504515,118.6396,21.153913,29.319156999999997,59.73168642857143,0.9965701385714285
2011-05-08,110,110.0,110,110,0.040952984,47.939056,23.455322142857142,28.837428857142857,75.7007337142857,0.9962507557142857,6,6.0,6,6,0.018959206,23.226107,23.28335142857143,29.670510428571426,71.00220900000001,0.9963816414285714,31,31.0,31,31,0.9323882,40.13257,22.425314714285715,28.526554714285712,72.39593685714286,0.9966780371428571,1815,1815.0,1815,1815,1.1625145e-12,67.557205,24.909358285714287,28.352587142857143,77.94316714285715,0.9961679857142858,13,13.0,13,13,0.043967817,33.920418,23.935760428571427,29.068551285714285,74.90556528571427,0.9962768128571428,18,18.0,18,18,0.0028615755,33.1266,24.909358285714287,28.352587142857143,77.94316714285715,0.9961679857142858,46,46.0,46,46,3.4249017e-05,12.595424,25.25083257142857,28.001730714285713,78.77324228571429,0.9960864742857144,20,20.0,20,20,0.9164041,55.646755,22.506360857142855,28.56826785714286,73.43347200000001,0.9966509628571429,28,28.0,28,28,0.1648976,123.03366,21.319606285714286,28.131107857142858,70.30691428571429,0.9973329871428571
2011-05-15,114,114.0,114,114,0.6946118,49.682293,23.326075857142857,28.609959285714286,69.49910814285714,0.9950129357142857,6,6.0,6,6,0.10076539,23.226107,22.841701142857143,28.987879999999997,68.895335,0.9951116528571429,11,11.0,11,11,0.048278827,14.240588,21.988472857142856,27.928619285714287,69.23786214285714,0.9956151514285715,1492,1492.0,1492,1492,0.0,55.53463,25.015006,28.12129871428571,72.65980957142857,0.99494176,15,15.0,15,15,0.20421857,39.138943,23.892469285714288,28.616477,71.81952257142856,0.9950254942857143,24,24.0,24,24,0.14095208,44.168797,25.015006,28.12129871428571,72.65980957142857,0.99494176,68,68.0,68,68,0.1903188,18.619322,25.48432257142857,27.984980857142858,71.79270385714285,0.99488016,4,4.0,4,4,0.008081486,11.129351,22.084620714285712,27.947618857142857,70.13860142857143,0.9955058628571428,25,25.0,25,25,0.17765513,109.85148,20.265224,28.062805,61.78890071428571,0.9964307571428571
2011-05-22,68,68.0,68,68,0.004551376,29.635054,23.14473614285714,29.309496142857142,71.1598572857143,0.9968117714285715,6,6.0,6,6,0.29785892,23.226107,22.86352942857143,29.864828857142857,69.26511771428571,0.9967751428571429,12,12.0,12,12,0.06278274,15.535187,21.92117757142857,28.949183857142856,67.75632685714285,0.9971213457142857,1214,1214.0,1214,1214,0.0,45.187023,24.56051642857143,28.54435942857143,74.66702771428571,0.996735,14,14.0,14,14,0.3297518,36.529682,23.590755142857144,29.45002942857143,72.17556485714286,0.9967617971428571,21,21.0,21,21,0.29493412,38.647697,24.56051642857143,28.54435942857143,74.66702771428571,0.996735,48,48.0,48,48,0.04843792,13.143051,24.941632857142856,27.95353042857143,75.568766,0.99671375,5,5.0,5,5,0.024484498,13.911689,22.093837142857144,29.05362357142857,69.08318271428571,0.99708449,9,9.0,9,9,0.0009948697,39.54653,20.901532714285715,28.441898714285717,65.396077,0.9979298042857143
2011-05-29,56,56.0,56,56,0.00048392676,24.405338,23.365051142857144,29.780944714285713,65.79077871428572,0.9972763685714285,2,2.0,2,2,0.058447383,7.7420354,22.980996142857144,30.38176628571429,64.49975928571429,0.9972766485714286,16,16.0,16,16,0.4576546,20.713583,22.051587714285713,28.999145571428574,65.81419071428571,0.9978225142857143,838,838.0,838,838,0.0,31.191702,25.030452,28.879473,70.81122214285715,0.9972333214285715,6,6.0,6,6,0.029453686,15.655578,23.942356857142858,29.791735,67.58927857142858,0.9972381528571429,12,12.0,12,12,0.04551863,22.084398,25.030452,28.879473,70.81122214285715,0.9972333214285715,22,22.0,22,22,3.1413536e-05,6.0238986,25.31709057142857,28.454554857142856,71.30444228571429,0.9971914014285714,3,3.0,3,3,0.041114375,8.347013,22.126164142857142,29.132799428571428,66.64079671428571,0.9977394885714286,8,8.0,8,8,0.006205017,35.152473,20.302328999999997,28.654519,61.26921928571429,0.9989749914285715
2011-06-05,54,54.0,54,54,0.0197058,23.533718,22.558292857142856,29.724988857142854,60.86040428571429,0.99673193,1,1.0,1,1,0.036843643,3.8710177,22.11573557142857,31.009207571428572,56.329686571428574,0.9967502085714285,9,9.0,9,9,0.16344255,11.65139,21.319344857142855,29.136252285714285,58.47372828571429,0.9973172057142857,693,693.0,693,693,0.0,25.794569,24.377711428571427,28.828064,68.11032171428572,0.9967589985714286,14,14.0,14,14,0.63738555,36.529682,23.09298257142857,29.890528714285715,62.981351000000004,0.9967740228571429,8,8.0,8,8,0.016751055,14.722933,24.377711428571427,28.828064,68.11032171428572,0.9967589985714286,24,24.0,24,24,0.0049393773,6.5715256,24.885088285714286,28.375976428571427,69.53239857142857,0.9967097242857142,3,3.0,3,3,0.22760805,8.347013,21.350171714285715,29.311445,59.26172885714286,0.9971954228571428,5,5.0,5,5,0.019643584,21.970297,19.666621714285714,29.390943142857143,54.32213714285714,0.9981259785714286
2011-06-12,44,44.0,44,44,0.048517905,19.175623,23.131997000000002,29.794398714285713,61.68461628571429,0.9989507157142857,0,0.0,0,0,0.0,0.0,22.983093142857143,30.740312999999997,56.63609257142857,0.9989944128571429,8,8.0,8,8,0.14798972,10.3567915,21.597259428571427,29.097612714285713,60.52058271428571,0.9993871571428572,542,542.0,542,542,0.0,20.174109,24.795122285714285,28.517504142857142,69.39912828571428,0.99904364,3,3.0,3,3,0.017313015,7.827789,23.824859571428572,29.633675571428572,63.81991985714286,0.99902492,4,4.0,4,4,0.008669485,7.3614664,24.795122285714285,28.517504142857142,69.39912828571428,0.99904364,20,20.0,20,20,0.056994863,5.476271,25.115897,28.20043942857143,70.242503,0.9989820314285714,2,2.0,2,2,0.23729578,5.5646753,21.767425428571432,29.19570057142857,60.922448714285714,0.9993173685714286,2,2.0,2,2,0.017711516,8.788118,20.04097657142857,28.99695242857143,54.90336514285714,1.0001772728571428
2011-06-19,24,24.0,24,24,0.0007021294,10.459431,22.60496757142857,29.555406857142856,61.138423428571436,0.9977999485714285,3,3.0,3,3,0.8040389,11.613053,22.569915857142856,30.732047142857144,55.32133785714286,0.9977541514285715,15,15.0,15,15,0.79353654,19.418983,21.324079285714284,29.14027642857143,58.19706885714286,0.99832153,416,416.0,416,416,0.0,15.484186,24.289236714285714,28.564971857142858,67.35328814285714,0.9977667985714286,2,2.0,2,2,0.01290285,5.218526,23.243848714285715,29.749638,61.71335857142857,0.9977472428571428,2,2.0,2,2,0.015268745,3.6807332,24.289236714285714,28.564971857142858,67.35328814285714,0.9977667985714286,10,10.0,10,10,0.009363745,2.7381356,24.790596999999998,28.120138999999998,68.42504428571429,0.9977320814285714,5,5.0,5,5,0.7777318,13.911689,21.344308,29.189597142857142,58.942089142857135,0.9982421785714285,3,3.0,3,3,0.20969537,13.182178,19.838976142857145,29.10308857142857,50.55208614285714,0.99931883
2011-06-26,29,29.0,29,29,0.068998724,12.638478,22.805729285714285,29.49462457142857,67.26775957142857,0.99796118,1,1.0,1,1,0.44836363,3.8710177,22.703587142857142,30.591574714285713,60.41539957142857,0.9978019985714285,1,1.0,1,1,0.0009961271,1.2945989,21.550715857142855,29.440425428571427,60.924725714285714,0.9983423800000001,349,349.0,349,349,3.3884007e-12,12.990338,24.16850942857143,28.30642242857143,71.90407571428571,0.9979971157142857,3,3.0,3,3,0.172161,7.827789,23.29071485714286,29.47780057142857,67.898084,0.9979398142857142,12,12.0,12,12,0.94963664,22.084398,24.16850942857143,28.30642242857143,71.90407571428571,0.9979971157142857,12,12.0,12,12,0.12326075,3.2857628,24.475586,27.791555999999996,73.483158,0.9979834814285714,0,0.0,0,0,0.0,0.0,21.64490185714286,29.40093585714286,62.86526585714286,0.9982738228571428,6,6.0,6,6,0.79978573,26.364355,19.966783714285715,29.620906428571427,48.92919228571429,0.9989638014285714
2011-07-03,32,32.0,32,32,0.49302328,13.945908,22.420567142857145,29.251425714285713,65.47323228571429,0.9975888057142858,0,0.0,0,0,0.0,0.0,21.669900000000002,30.00976142857143,62.252423428571426,0.9976803,5,5.0,5,5,0.13392359,6.472995,21.005122857142858,29.180838571428573,60.13368714285714,0.9979876485714286,247,247.0,247,247,1.5476509e-13,9.193735,23.83541442857143,28.087293142857142,71.70091671428571,0.9976118700000001,5,5.0,5,5,0.7329624,13.046314,22.634356,29.037628,68.18449071428572,0.9976500785714286,4,4.0,4,4,0.31912372,7.3614664,23.83541442857143,28.087293142857142,71.70091671428571,0.9976118700000001,13,13.0,13,13,0.4350325,3.5595763,24.412785285714286,27.749272142857144,72.44220014285715,0.9975385714285715,0,0.0,0,0,0.0,0.0,21.022286714285713,29.045889714285714,63.11493442857143,0.9979596871428571,3,3.0,3,3,0.40143952,13.182178,19.485752714285717,29.802926142857142,48.35127685714286,0.9987517785714285
2011-07-10,19,19.0,19,19,0.07621991,8.280382,22.804931714285715,28.838740714285713,67.67620014285714,0.9989382928571429,0,0.0,0,0,0.0,0.0,22.555799142857143,29.597704285714286,67.08218314285715,0.9988674600000002,10,10.0,10,10,0.83115596,12.94599,21.707963857142857,28.899274428571427,64.31220214285715,0.9991241671428571,219,219.0,219,219,6.066383e-08,8.15153,23.993887285714287,27.61274057142857,75.26471485714286,0.9990389642857143,3,3.0,3,3,0.45286226,7.827789,23.17117742857143,28.591631285714282,72.47742214285714,0.9990463428571428,2,2.0,2,2,0.04432288,3.6807332,23.993887285714287,27.61274057142857,75.26471485714286,0.9990389642857143,13,13.0,13,13,0.5608213,3.5595763,24.339909000000002,27.209559857142857,75.67080414285714,0.9989478357142857,2,2.0,2,2,0.6340577,5.5646753,21.658695714285717,28.811963999999996,66.82198742857143,0.9990970414285715,5,5.0,5,5,0.6023485,21.970297,20.06917914285714,29.42700628571429,52.789582571428575,0.9997935957142856
2011-07-17,15,15.0,15,15,0.03277716,6.537144,22.07781957142857,27.889033714285713,68.09476857142857,0.9985904257142858,1,1.0,1,1,0.72795874,3.8710177,21.68164057142857,28.242780285714286,66.96184228571428,0.9986186514285714,4,4.0,4,4,0.28178713,5.1783957,21.16249742857143,27.17964842857143,65.76176728571428,0.9991405999999999,216,216.0,216,216,0.0051511764,8.0398655,23.269104,27.00160442857143,73.54074028571429,0.9985795357142857,3,3.0,3,3,0.3818716,7.827789,22.24103657142857,27.626687142857143,71.48351128571429,0.9985896614285714,1,1.0,1,1,0.027889227,1.8403666,23.269104,27.00160442857143,73.54074028571429,0.9985795357142857,23,23.0,23,23,0.95317227,6.297712,23.863425285714282,26.869048857142854,72.61965785714287,0.9985110557142857,1,1.0,1,1,0.5675593,2.7823377,21.149013285714286,27.080431285714287,67.99861899999999,0.9990399857142858,1,1.0,1,1,0.05896434,4.394059,19.233437714285714,26.169080428571426,64.88208857142857,1.0004532857142856
2011-07-24,15,15.0,15,15,0.1395828,6.537144,22.237317571428573,29.532736857142858,59.37349757142857,0.9993838657142857,0,0.0,0,0,0.0,0.0,21.596308999999998,31.018938428571428,52.86941628571429,0.99923939,3,3.0,3,3,0.11699232,3.8837967,21.026096857142857,29.420000285714284,54.966589,0.999888507142857,224,224.0,224,224,0.34944308,8.337639,23.69928842857143,28.296888,65.18262642857142,0.9995129114285713,3,3.0,3,3,0.42245412,7.827789,22.481924857142854,29.622375428571427,61.16562742857143,0.9994110357142857,0,0.0,0,0,0.0,0.0,23.69928842857143,28.296888,65.18262642857142,0.9995129114285713,10,10.0,10,10,0.14804897,2.7381356,24.32471985714286,27.765389571428575,66.26303257142857,0.9994724857142857,0,0.0,0,0,0.0,0.0,21.090541142857145,29.306597,56.895221142857146,0.9997693542857142,1,1.0,1,1,0.09779458,4.394059,18.493931285714286,29.348768142857143,47.44208714285714,1.0009202514285713
2011-07-31,13,13.0,13,13,0.24128559,5.665525,22.12225342857143,30.099500428571428,53.37611328571428,0.9967221242857143,1,1.0,1,1,0.7281126,3.8710177,21.536058571428573,31.810224285714288,47.27053957142857,0.9965324657142858,0,0.0,0,0,0.0,0.0,20.684203857142855,29.797877571428575,49.944107714285714,0.9971832728571428,191,191.0,191,191,0.08590728,7.109326,23.367300857142855,28.419638428571428,62.97804228571429,0.9968612328571428,3,3.0,3,3,0.48370206,7.827789,22.22456142857143,29.861411,57.63393142857143,0.9967224042857143,1,1.0,1,1,0.43338034,1.8403666,23.367300857142855,28.419638428571428,62.97804228571429,0.9968612328571428,9,9.0,9,9,0.07621722,2.464322,23.998286571428572,28.017582428571426,64.19953857142858,0.9968554000000001,3,3.0,3,3,0.86724335,8.347013,20.72587342857143,29.803632285714286,51.690906142857145,0.9970882885714286,3,3.0,3,3,0.6482291,13.182178,18.42017057142857,29.02563042857143,49.78152957142857,0.9984818057142857
2011-08-07,10,10.0,10,10,0.178226,4.358096,22.636788285714285,30.45891442857143,54.122111714285715,0.9991567614285713,4,4.0,4,4,0.96379036,15.484071,22.007738285714286,31.96753814285714,49.21032757142858,0.9988480671428571,2,2.0,2,2,0.33881608,2.5891979,20.708976,30.510428285714283,49.89035571428571,0.9992802000000001,148,148.0,148,148,0.0006177564,5.508797,24.157278714285717,28.423854285714288,65.80892814285714,0.99940748,0,0.0,0,0,0.0,0.0,22.99175585714286,29.894173714285717,60.13931757142857,0.9992630214285715,3,3.0,3,3,0.9115973,5.5210996,24.157278714285717,28.423854285714288,65.80892814285714,0.99940748,7,7.0,7,7,0.08750161,1.916695,24.63629157142857,27.950923285714286,66.31610171428572,0.9993764971428571,0,0.0,0,0,0.0,0.0,20.85774442857143,30.40465,51.749347,0.9992381328571429,3,3.0,3,3,0.7240456,13.182178,18.98754885714286,31.20122442857143,42.358706,0.9996024714285714
