,casos_2312403,casos_est_2312403,casos_est_min_2312403,casos_est_max_2312403,p_rt1_2312403,p_inc100k_2312403,temp_min_2312403,temp_max_2312403,umid_min_2312403,pressao_min_2312403,casos_2303709,casos_est_2303709,casos_est_min_2303709,casos_est_max_2303709,p_rt1_2303709,p_inc100k_2303709,temp_min_2303709,temp_max_2303709,umid_min_2303709,pressao_min_2303709
2016-10-23,10,10.0,10,10,0.77226526,20.46287,25.714285714285715,27.571428571428573,69.0,1010.5714285714286,37,37.0,37,37,0.7428013,10.131102,25.714285714285715,27.571428571428573,69.0,1010.5714285714286
2016-10-30,2,2.0,2,2,0.06379569,4.092574,25.571428571428573,27.0,68.28571428571429,1010.4285714285714,24,24.0,24,24,0.14148396,6.5715256,25.571428571428573,27.0,68.28571428571429,1010.4285714285714
2016-11-06,2,2.0,2,2,0.07294917,4.092574,25.857142857142858,27.714285714285715,62.857142857142854,1011.2857142857143,28,28.0,28,28,0.32215473,7.66678,25.857142857142858,27.714285714285715,62.857142857142854,1011.2857142857143
2016-11-13,4,4.0,4,4,0.4835236,8.185148,25.714285714285715,28.0,67.42857142857143,1009.8571428571429,28,28.0,28,28,0.46401203,7.66678,25.714285714285715,28.0,67.42857142857143,1009.8571428571429
2016-11-20,2,2.0,2,2,0.32633352,4.092574,26.0,28.0,69.0,1008.1428571428571,33,33.0,33,33,0.75439715,9.035848,26.0,28.0,69.0,1008.1428571428571
2016-11-27,4,4.0,4,4,0.6671197,8.185148,26.285714285714285,27.571428571428573,67.14285714285714,1009.4285714285714,31,31.0,31,31,0.5990875,8.48822,26.285714285714285,27.571428571428573,67.14285714285714,1009.4285714285714
2016-12-04,2,2.0,2,2,0.31874338,4.092574,26.142857142857142,29.285714285714285,61.142857142857146,1010.0,33,33.0,33,33,0.6069374,9.035848,26.142857142857142,29.285714285714285,61.142857142857146,1010.0
2016-12-11,1,1.0,1,1,0.13939463,2.046287,26.0,27.285714285714285,71.42857142857143,1010.2857142857143,30,30.0,30,30,0.41887805,8.214407,26.0,27.285714285714285,71.42857142857143,1010.2857142857143
2016-12-18,2,2.0,2,2,0.44842622,4.092574,26.142857142857142,27.428571428571427,71.42857142857143,1009.7142857142857,23,23.0,23,23,0.13372047,6.297712,26.142857142857142,27.428571428571427,71.42857142857143,1009.7142857142857
2016-12-25,5,5.0,5,5,0.90407896,10.231435,26.0,28.142857142857142,67.57142857142857,1008.0,28,28.0,28,28,0.4545733,7.66678,26.0,28.142857142857142,67.57142857142857,1008.0
