"Low","Median","High","uf","macroregional","macroregional_id","dummyweeks","SE","pop","LowCases","MedianCases","HighCases"
11.8452845399126,19.2177245815806,31.1787308147019,"Pernambuco","Agreste",2608,33,21,1935686,229.287514499254,371.994804244214,603.522327357871
11.7967734346127,21.6068966184364,39.5750570329681,"Pernambuco","Agreste",2608,34,22,1935686,228.348491825516,418.241672877547,766.04883847918
10.8749946728579,19.4117282571417,34.649689978201,"Pernambuco","Agreste",2608,35,23,1935686,210.505749383256,375.750106231535,670.70919795144
10.756832701419,19.6477063812947,35.887177644275,"Pernambuco","Agreste",2608,36,24,1935686,208.218504644789,380.317901743829,694.66307345536
8.7402496495507,16.6161183129448,31.5889589954643,"Pernambuco","Agreste",2608,37,25,1935686,169.183788831402,321.635875927108,611.463056820943
7.98839919132754,14.8224643767275,27.5030634971114,"Pernambuco","Agreste",2608,38,26,1935686,154.63032477064,286.916367795301,532.372949684696
7.03441570775133,12.010110310039,20.5052922164328,"Pernambuco","Agreste",2608,39,27,1935686,136.164200036743,232.478023855982,396.918070692579
6.4056974441084,11.9928668975155,22.4532703388621,"Pernambuco","Agreste",2608,40,28,1935686,123.994188627964,232.144245533842,434.624810491506
5.09386808742566,9.65266033157565,18.2913750174992,"Pernambuco","Agreste",2608,41,29,1935686,98.6012914267662,186.845194665863,354.06358542123
5.11782010331388,9.42594850272383,17.3606151412924,"Pernambuco","Agreste",2608,42,30,1935686,99.0649272450322,182.456765534435,336.046996803878
5.19709999891942,9.45167478505686,17.189231737133,"Pernambuco","Agreste",2608,43,31,1935686,100.599537085083,182.954745579876,332.729552243241
4.46150882463066,7.83058347530746,13.7437893712637,"Pernambuco","Agreste",2608,44,32,1935686,86.3608017071402,151.57550804984,266.03660672904
4.42447084143169,7.5627692484807,12.9270777807314,"Pernambuco","Agreste",2608,45,33,1935686,85.6438626516754,146.391465555146,250.227634810728
3.99048956236134,7.05978177495741,12.4898256043873,"Pernambuco","Agreste",2608,46,34,1935686,77.2433477900896,136.655207448402,241.76380564854
3.56298270187314,6.23537195834643,10.9121673362301,"Pernambuco","Agreste",2608,47,35,1935686,68.9681573425801,120.697222045638,211.225295423979
3.30185317224272,5.74988343709434,10.0129102705423,"Pernambuco","Agreste",2608,48,36,1935686,63.9135095956581,111.299688708154,193.81850229945
3.0211904849117,4.90871299081889,7.97548626826763,"Pernambuco","Agreste",2608,49,37,1935686,58.4807612497679,95.0172701434625,154.380371126779
3.16684124856834,4.98501268309618,7.84704678893016,"Pernambuco","Agreste",2608,50,38,1935686,61.3001026907626,96.4941926049171,151.894186106771
2.57138998774708,5.42308791502669,11.4373481557638,"Pernambuco","Agreste",2608,51,39,1935686,49.7740359982218,104.973953538863,221.391147022378
3.62592016272328,8.11238343676344,18.150086618467,"Pernambuco","Agreste",2608,52,40,1935686,70.1864289610118,157.030270451749,351.32868566154
1.65714466339425,2.39413221040305,3.45888272008137,"Pernambuco","Agreste",2608,1,41,1935686,32.0771172490696,46.3428820182625,66.9531085690343
1.69773368473699,2.68034167480132,4.23165986412629,"Pernambuco","Agreste",2608,2,42,1935686,32.862793252738,51.8829985512947,81.9116475575117
2.09665463725109,3.19305147078347,4.86278355716218,"Pernambuco","Agreste",2608,3,43,1935686,40.5846502816202,61.8074502927496,94.1282205262903
1.7259911588272,2.79615361226352,4.52984650783898,"Pernambuco","Agreste",2608,4,44,1935686,33.4097692226559,54.1247540110793,87.683604673728
1.69054444110635,2.64866075032813,4.14978961791603,"Pernambuco","Agreste",2608,5,45,1935686,32.7236320702738,51.2697553315966,80.3268966634541
1.41549145337375,2.24151918755371,3.54958573306539,"Pernambuco","Agreste",2608,6,46,1935686,27.3994698941523,43.388773100791,68.708834092944
1.66480109363861,2.45455928292111,3.6189676330679,"Pernambuco","Agreste",2608,7,47,1935686,32.2253216974095,47.5125604012043,70.0518498178267
1.50460823025902,2.38652326039157,3.78536628861157,"Pernambuco","Agreste",2608,8,48,1935686,29.1244908679716,46.1955966381431,73.2728052973737
1.57102827482175,2.48193342184648,3.92099468176503,"Pernambuco","Agreste",2608,9,49,1935686,30.4101743717662,48.0424377760033,75.8981451156703
1.5083688582137,2.39579590885584,3.80532785839125,"Pernambuco","Agreste",2608,10,50,1935686,29.1972848168024,46.3750859962953,73.6591986089793
1.28905416317588,2.15135943258581,3.59049878615877,"Pernambuco","Agreste",2608,11,51,1935686,24.9520409690128,41.6435633462429,69.5007823338452
1.35014325800405,2.17116921172179,3.49146338211354,"Pernambuco","Agreste",2608,12,52,1935686,26.1345340251282,42.027018467609,67.5837678826984
0.0516750054315211,0.24296188590355,0.469041521220699,"Piauí","Semi-árido",2207,13,1,593556,0.30672009523912,1.44211485149367,2.78402409169673
0.197331106842623,0.384877717914944,0.601801107994925,"Piauí","Semi-árido",2207,14,2,593556,1.1712706245308,2.28446478734723,3.57202658457036
0.136858902823003,0.394124147550143,0.709607176366552,"Piauí","Semi-árido",2207,15,3,593556,0.812334229240106,2.33934752523272,4.21191597175425
0.276001387159453,0.551445932177634,0.886349423043177,"Piauí","Semi-árido",2207,16,4,593556,1.63822279356816,3.27314041719628,5.26098018143816
0.163278098174571,0.471809992207228,0.862172645182871,"Piauí","Semi-árido",2207,17,5,593556,0.969146948401055,2.80045651734553,5.11747746584164
0.29023335211586,0.520928065978869,0.934992646248861,"Piauí","Semi-árido",2207,18,6,593556,1.72269747548481,3.09199979130154,5.54970495136889
0.266681263099518,0.62236953548913,1.07793624675762,"Piauí","Semi-árido",2207,19,7,593556,1.58290263800297,3.69411172006786,6.39815526880467
0.546424181942982,0.945354223957922,1.4471959898584,"Piauí","Semi-árido",2207,20,8,593556,3.24333351737349,5.61120671755568,8.58991862956395
0.512689303495914,0.883480185332232,1.52243714185641,"Piauí","Semi-árido",2207,21,9,593556,3.04309812225821,5.24394964885058,9.03651700171724
0.928575940212433,1.24100949411863,1.65856608791763,"Piauí","Semi-árido",2207,22,10,593556,5.51161820768731,7.36608631291076,9.84451852880037
0.825052490813216,1.5054617525278,2.43953865709504,"Piauí","Semi-árido",2207,23,11,593556,4.89714856237129,8.93575855983389,14.4800280715071
0.980504791847785,1.8904032935281,3.21833425176593,"Piauí","Semi-árido",2207,24,12,593556,5.81984502230004,11.2206021729336,19.1026160514118
1.0569974541346,1.95646868803966,3.62136134983745,"Piauí","Semi-árido",2207,25,13,593556,6.27387180886319,11.6127372859807,21.4948075736412
1.59523725963998,2.65553019123172,4.42055910738611,"Piauí","Semi-árido",2207,26,14,593556,9.46862646882866,15.7620587818673,26.2384938154367
1.58627266844829,3.28539486695835,6.80451705846696,"Piauí","Semi-árido",2207,27,15,593556,9.41541659993492,19.5006583565233,40.3886192715542
3.90250811053427,6.21647711563394,9.9025002984324,"Piauí","Semi-árido",2207,28,16,593556,23.1635710405628,36.8982729084722,58.7768846713634
4.46336088587629,7.26603358526901,11.828585098131,"Piauí","Semi-árido",2207,29,17,593556,26.4925463397719,43.1279783073793,70.2092765650627
5.0086069854761,8.74722303916391,15.2764852819864,"Piauí","Semi-árido",2207,30,18,593556,29.7288872787125,51.9196671823398,90.6744949803472
6.34855463964277,11.4157107955967,20.5272633482503,"Piauí","Semi-árido",2207,31,19,593556,37.682226976878,67.758636369912,121.840803239341
5.80750777850716,11.1165955389802,21.279127138602,"Piauí","Semi-árido",2207,32,20,593556,34.470810869796,65.9832198173492,126.303535878801
6.26612218377532,12.7950180575472,26.1266030714903,"Piauí","Semi-árido",2207,33,21,593556,37.1929441891294,75.9455973816546,155.076020127015
6.75374640668986,13.7478024271111,27.9847747004043,"Piauí","Semi-árido",2207,34,22,593556,40.0872670216921,81.6009061742634,166.105309320732
6.9397124492455,13.5905921554231,26.6155401230103,"Piauí","Semi-árido",2207,35,23,593556,41.1910796252436,80.6677751740431,157.978135332535
7.34305282039027,13.3363751637995,24.2213840564688,"Piauí","Semi-árido",2207,36,24,593556,43.5851305985957,79.158854967242,143.767478350214
7.40378681876243,12.5490597749572,21.270048029526,"Piauí","Semi-árido",2207,37,25,593556,43.9456208899735,74.4856972378448,126.249646282133
5.08519464134193,8.70078619553257,14.8870762595614,"Piauí","Semi-árido",2207,38,26,593556,30.1834779053635,51.6440385107553,88.3631343632021
5.22703107043408,8.02813182135066,12.3303075249619,"Piauí","Semi-árido",2207,39,27,593556,31.0253565404257,47.6514581135361,73.1872801328629
4.89247338957162,7.78539370488611,12.3888982757221,"Piauí","Semi-árido",2207,40,28,593556,29.0395693522057,46.2106714589738,73.5350490494453
1.80290504255083,3.52687054500449,6.89931834880293,"Piauí","Semi-árido",2207,41,29,593556,10.701251054363,20.9339517321068,40.9513180184207
2.03098284391014,3.51420531174955,6.08062200533052,"Piauí","Semi-árido",2207,42,30,593556,12.0550205289993,20.8587764802082,36.0918967499596
2.19983443146549,3.36335620342058,5.14228015948988,"Piauí","Semi-árido",2207,43,31,593556,13.0572492580293,19.9634025467751,30.5223124234617
1.41392970503343,2.38845236142287,4.03464518955813,"Piauí","Semi-árido",2207,44,32,593556,8.39246460000824,14.1768022983671,23.9478786013337
