geocode,name_muni,name_region,code_region,name_macro,code_macro,state
3501301,Álvares Machado,Alta Sorocabana,35112,RRAS11,3532,SP
3501400,Álvaro de Carvalho,Marília,35093,RRAS10,3533,SP
3501509,Alvinlândia,Marília,35093,RRAS10,3533,SP
3502002,Analândia,Rio Claro,35104,RRAS14,3529,SP
3502408,Anhumas,Alta Sorocabana,35112,RRAS11,3532,SP
3502507,Aparecida,Circ. da Fé e Vale Histórico,35172,RRAS17,3526,SP
3534005,Onda Verde,São José do Rio Preto,35155,RRAS12,3531,SP
3502606,Aparecida d'Oeste,Jales,35153,RRAS12,3531,SP
3502903,Araçoiaba da Serra,Sorocaba,35163,RRAS8,3519,SP
3503000,Aramina,Alta Mogiana,35083,RRAS13,3530,SP
3503109,Arandu,Vale do Jurumirim,35061,RRAS9,3518,SP
3503158,Arapeí,Circ. da Fé e Vale Histórico,35172,RRAS17,3526,SP
3503208,Araraquara,Central do DRS III,35031,RRAS13,3530,SP
3503307,Araras,Araras,35101,RRAS14,3529,SP
3503356,Arco-Íris,Tupã,35095,RRAS10,3533,SP
3540853,Pracinha,Adamantina,35091,RRAS10,3533,SP
3503406,Arealva,Bauru,35062,RRAS9,3518,SP
3503604,Areiópolis,Polo Cuesta,35063,RRAS9,3518,SP
3503703,Ariranha,Catanduva,35151,RRAS12,3531,SP
3503802,Artur Nogueira,RM de Campinas,35072,RRAS15,3528,SP
3503901,Arujá,Alto do Tietê,35011,RRAS2,3525,SP
3503950,Aspásia,Jales,35153,RRAS12,3531,SP
3504008,Assis,Assis,35092,RRAS10,3533,SP
3504107,Atibaia,Bragança,35071,RRAS16,3527,SP
3504206,Auriflama,Central do DRS II,35021,RRAS12,3531,SP
3504305,Avaí,Bauru,35062,RRAS9,3518,SP
3504404,Avanhandava,Consórcios do DRS II,35023,RRAS12,3531,SP
3504503,Avaré,Vale do Jurumirim,35061,RRAS9,3518,SP
3504602,Bady Bassitt,São José do Rio Preto,35155,RRAS12,3531,SP
4109757,Ibema,10ª RS Cascavel,41010,Oeste,4108,PR
3504701,Balbinos,Bauru,35062,RRAS9,3518,SP
3505005,Barão de Antonina,Vale do Jurumirim,35061,RRAS9,3518,SP
3505104,Barbosa,Consórcios do DRS II,35023,RRAS12,3531,SP
3507308,Boracéia,Jaú,35064,RRAS9,3518,SP
3505203,Bariri,Jaú,35064,RRAS9,3518,SP
3505302,Barra Bonita,Jaú,35064,RRAS9,3518,SP
3505708,Barueri,Rota dos Bandeirantes,35014,RRAS5,3522,SP
3505807,Bastos,Tupã,35095,RRAS10,3533,SP
3507407,Borborema,Centro Oeste do DRS III,35032,RRAS13,3530,SP
3540200,Pontal,Horizonte Verde,35131,RRAS13,3530,SP
3506201,Bento de Abreu,Central do DRS II,35021,RRAS12,3531,SP
